Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/30/2022 9:05:23 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,CZE,Czechia,2013,All,Age_all,[All],51731.00000000,47.39006962,227.14525561,492.17375139,
EU,Europe,CZE,Czechia,2014,All,Age_all,[All],48627.00000000,46.01996877,208.39964382,462.02377759,
EU,Europe,CZE,Czechia,2015,All,Age_all,[All],50969.00000000,45.84656346,213.09843410,483.44190834,
EU,Europe,CZE,Czechia,2016,All,Age_all,[All],47611.00000000,44.18654292,195.02919070,450.63625360,
EU,Europe,CZE,Czechia,2017,All,Age_all,[All],49346.00000000,44.27913821,197.51461940,465.98875153,
EU,Europe,CZE,Czechia,2018,All,Age_all,[All],48792.00000000,43.20935175,191.01943516,459.15702640,
EU,Europe,CZE,Czechia,2019,All,Age_all,[All],47393.00000000,42.17885050,182.11920709,444.19871400,
EU,Europe,DNK,Denmark,2000,All,Age_all,[All],20531.00000000,35.99151532,183.12324878,384.66698043,
EU,Europe,DNK,Denmark,2001,All,Age_all,[All],20873.00000000,36.21772626,184.06049254,389.77927882,
EU,Europe,DNK,Denmark,2002,All,Age_all,[All],20446.00000000,35.01207254,178.67288131,380.44342890,
EU,Europe,DNK,Denmark,2003,All,Age_all,[All],19837.00000000,34.57248423,172.57682414,368.22645788,
EU,Europe,DNK,Denmark,2004,All,Age_all,[All],18538.00000000,33.31955353,160.39470185,343.22148672,
EU,Europe,DNK,Denmark,2005,All,Age_all,[All],17639.00000000,32.23972803,149.47659840,325.68448395,
EU,Europe,DNK,Denmark,2006,All,Age_all,[All],16971.00000000,30.73454308,142.48096671,312.27878872,
EU,Europe,DNK,Denmark,2007,All,Age_all,[All],16042.00000000,29.01901196,132.15442229,293.94869183,
EU,Europe,DNK,Denmark,2008,All,Age_all,[All],15031.00000000,27.69925366,122.05984745,273.83748872,
EU,Europe,DNK,Denmark,2009,All,Age_all,[All],14628.00000000,26.82510865,117.38040999,265.02683877,
EU,Europe,DNK,Denmark,2010,All,Age_all,[All],14398.00000000,26.64963814,113.51579824,259.71266378,
EU,Europe,DNK,Denmark,2011,All,Age_all,[All],13093.00000000,25.07997318,102.05643265,235.19559335,
EU,Europe,DNK,Denmark,2012,All,Age_all,[All],13096.00000000,25.17928900,99.66161898,234.39772260,
EU,Europe,DNK,Denmark,2013,All,Age_all,[All],12655.00000000,24.25165766,95.17665144,225.62822886,
EU,Europe,DNK,Denmark,2014,All,Age_all,[All],12109.00000000,23.74639656,89.04703844,214.70927896,
EU,Europe,DNK,Denmark,2015,All,Age_all,[All],12504.00000000,23.94301471,90.36158685,220.20489058,
EU,Europe,DNK,Denmark,2016,All,Age_all,[All],12691.00000000,24.17793865,90.24752108,221.72639093,
EU,Europe,DNK,Denmark,2017,All,Age_all,[All],12361.00000000,23.34775136,86.14533472,214.60609685,
EU,Europe,DNK,Denmark,2018,All,Age_all,[All],12059.00000000,21.98140722,82.26120302,208.31184831,
EU,Europe,EST,Estonia,2000,All,Age_all,[All],9982.00000000,54.24115633,418.51856059,714.53881037,
EU,Europe,EST,Estonia,2001,All,Age_all,[All],9922.00000000,53.58608771,412.61246748,714.78227668,
EU,Europe,EST,Estonia,2002,All,Age_all,[All],9983.00000000,54.38845001,411.14387096,723.74669228,
EU,Europe,EST,Estonia,2003,All,Age_all,[All],9952.00000000,54.82591450,403.63034206,726.04178826,
EU,Europe,EST,Estonia,2004,All,Age_all,[All],9402.00000000,53.16369805,377.13331308,690.02972368,
EU,Europe,EST,Estonia,2005,All,Age_all,[All],9231.00000000,53.30907831,364.59391346,681.36775479,
EU,Europe,EST,Estonia,2006,All,Age_all,[All],9187.00000000,53.05497805,356.51855712,682.13036731,
EU,Europe,EST,Estonia,2007,All,Age_all,[All],9057.00000000,52.02481475,341.78542792,675.55270460,
EU,Europe,EST,Estonia,2008,All,Age_all,[All],9074.00000000,54.41679160,332.69944662,678.63793761,
EU,Europe,EST,Estonia,2009,All,Age_all,[All],8796.00000000,54.63693397,311.14386203,659.11585857,
EU,Europe,EST,Estonia,2010,All,Age_all,[All],8750.00000000,55.44642291,299.75979459,657.16592501,
EU,Europe,EST,Estonia,2011,All,Age_all,[All],8159.00000000,53.66350960,270.76247934,614.64217941,
EU,Europe,EST,Estonia,2012,All,Age_all,[All],8339.00000000,53.89387966,266.76788176,627.32170718,
EU,Europe,EST,Estonia,2013,All,Age_all,[All],8293.00000000,53.94171979,257.80739358,629.21235784,
EU,Europe,EST,Estonia,2014,All,Age_all,[All],8250.00000000,53.32902392,249.62688722,627.59357801,
EU,Europe,EST,Estonia,2015,All,Age_all,[All],7965.00000000,52.25349341,234.79692308,605.88403539,
EU,Europe,EST,Estonia,2016,All,Age_all,[All],7973.00000000,51.82994214,228.69485942,605.94798788,
EU,Europe,EST,Estonia,2017,All,Age_all,[All],8003.00000000,51.82618832,220.38667008,606.56818681,
EU,Europe,EST,Estonia,2018,All,Age_all,[All],7953.00000000,50.96116878,214.42567492,601.17013878,
EU,Europe,EST,Estonia,2019,All,Age_all,[All],7672.00000000,50.52021599,203.89206671,578.73583334,
EU,Europe,EST,Estonia,2020,All,Age_all,[All],7703.00000000,49.10748438,200.67956478,580.68577158,
EU,Europe,FIN,Finland,2000,All,Age_all,[All],21399.00000000,43.39159705,216.72484203,413.41066406,
EU,Europe,FIN,Finland,2001,All,Age_all,[All],20787.00000000,42.85625928,204.01493775,400.67401592,
EU,Europe,FIN,Finland,2002,All,Age_all,[All],21133.00000000,42.78888012,202.93416869,406.35703695,
EU,Europe,FIN,Finland,2003,All,Age_all,[All],20775.00000000,42.36942467,195.67594678,398.52185319,
EU,Europe,FIN,Finland,2004,All,Age_all,[All],19758.00000000,41.37194547,183.50470489,377.91411606,
EU,Europe,FIN,Finland,2005,All,Age_all,[All],19764.00000000,41.38970912,177.16259552,376.73729188,
EU,Europe,FIN,Finland,2006,All,Age_all,[All],19980.00000000,41.53328067,172.63411469,379.39580743,
EU,Europe,FIN,Finland,2007,All,Age_all,[All],20312.00000000,41.37453405,169.93899663,384.06268435,
EU,Europe,FIN,Finland,2008,All,Age_all,[All],20281.00000000,41.31391322,164.55387174,381.69540816,
EU,Europe,FIN,Finland,2009,All,Age_all,[All],20361.00000000,40.80033665,160.57681938,381.37280161,
EU,Europe,FIN,Finland,2010,All,Age_all,[All],20587.00000000,40.43802789,156.82567297,383.84577406,
EU,Europe,FIN,Finland,2011,All,Age_all,[All],20246.00000000,40.03717766,149.44819759,375.74198185,
EU,Europe,FIN,Finland,2012,All,Age_all,[All],20329.00000000,39.29296248,145.75643218,375.49148305,
EU,Europe,FIN,Finland,2013,All,Age_all,[All],19654.00000000,38.17941645,137.10394026,361.35505018,
EU,Europe,FIN,Finland,2014,All,Age_all,[All],19643.00000000,37.48020378,133.01434455,359.66233890,
EU,Europe,FIN,Finland,2015,All,Age_all,[All],19435.00000000,37.15919085,128.76431135,354.58068622,
EU,Europe,FIN,Finland,2016,All,Age_all,[All],19727.00000000,36.55585205,127.27718999,358.97932825,
EU,Europe,FIN,Finland,2017,All,Age_all,[All],19139.00000000,35.66051798,121.44699173,347.46292968,
EU,Europe,FIN,Finland,2018,All,Age_all,[All],18925.00000000,34.71012233,117.55106518,343.12236822,
EU,Europe,FIN,Finland,2019,All,Age_all,[All],18336.00000000,33.97946703,111.60654712,332.07732787,
EU,Europe,FRA,France,2000,All,Age_all,[All],161913.00000000,30.50070641,123.24474072,274.91479769,
