Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/26/2022 4:01:42 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,BRB,Barbados,2006,All,Age_all,[All],697.00000000,29.96560619,142.79458816,251.19199069,
NAC,North America and the Caribbean,BRB,Barbados,2007,All,Age_all,[All],723.00000000,30.60965284,149.74908202,259.41872982,
NAC,North America and the Caribbean,BRB,Barbados,2008,All,Age_all,[All],765.00000000,31.71641791,151.49409637,273.26698720,
NAC,North America and the Caribbean,BRB,Barbados,2009,All,Age_all,[All],718.00000000,30.38510368,142.41074818,255.42148102,
NAC,North America and the Caribbean,BRB,Barbados,2010,All,Age_all,[All],659.00000000,29.09492274,127.46824326,233.57943650,
NAC,North America and the Caribbean,BRB,Barbados,2011,All,Age_all,[All],709.00000000,29.12900575,135.39642930,250.54154431,
NAC,North America and the Caribbean,BRB,Barbados,2012,All,Age_all,[All],679.00000000,29.19174549,124.58908804,239.33648454,
NAC,North America and the Caribbean,BRB,Barbados,2013,All,Age_all,[All],745.00000000,29.93169948,136.90006152,262.05082027,
EU,Europe,BLR,Belarus,2000,All,Age_all,[All],72401.00000000,53.68325832,498.23936685,723.65121373,
EU,Europe,BLR,Belarus,2001,All,Age_all,[All],76736.00000000,54.69461650,524.78628081,769.61589812,
EU,Europe,BLR,Belarus,2002,All,Age_all,[All],79171.00000000,53.98341720,535.83199812,797.71150272,
EU,Europe,BLR,Belarus,2003,All,Age_all,[All],78769.00000000,55.00513257,526.06765691,797.75560153,
EU,Europe,BLR,Belarus,2007,All,Age_all,[All],70318.00000000,52.87345951,447.37866365,724.76973064,
EU,Europe,BLR,Belarus,2008,All,Age_all,[All],70618.00000000,52.74763032,445.19746789,729.46141766,
EU,Europe,BLR,Belarus,2009,All,Age_all,[All],73040.00000000,54.06485710,455.19817103,755.47262549,
EU,Europe,BLR,Belarus,2010,All,Age_all,[All],73900.00000000,53.88968293,458.26941574,778.66660036,
EU,Europe,BLR,Belarus,2011,All,Age_all,[All],70206.00000000,51.96979791,434.45431962,741.10340232,
EU,Europe,BLR,Belarus,2013,All,Age_all,[All],66208.00000000,52.82862295,394.81819796,699.42975896,
EU,Europe,BLR,Belarus,2014,All,Age_all,[All],67473.00000000,55.51414326,395.39872158,712.15284884,
EU,Europe,BLR,Belarus,2018,All,Age_all,[All],68095.00000000,56.72078165,374.85355412,718.03666558,
EU,Europe,BEL,Belgium,2000,All,Age_all,[All],38046.00000000,36.29477701,173.59244440,371.13522741,
EU,Europe,BEL,Belgium,2001,All,Age_all,[All],36772.00000000,35.70374398,164.27903336,357.47581555,
EU,Europe,BEL,Belgium,2002,All,Age_all,[All],37262.00000000,35.39054783,165.15545509,360.61913608,
EU,Europe,BEL,Belgium,2003,All,Age_all,[All],37069.00000000,34.90193863,162.82200939,357.25256978,
EU,Europe,BEL,Belgium,2004,All,Age_all,[All],35304.00000000,34.86608201,152.66313454,338.77303114,
EU,Europe,BEL,Belgium,2005,All,Age_all,[All],34600.00000000,33.61377193,145.59904541,330.19624632,
EU,Europe,BEL,Belgium,2006,All,Age_all,[All],32896.00000000,32.86248027,134.45697765,311.87076097,
EU,Europe,BEL,Belgium,2007,All,Age_all,[All],33082.00000000,32.63039533,130.86119013,311.33945892,
